Position,ISBN,Title,Contributor,Publisher,Year
81,9780099576433,NYPD Red ,James Patterson ; Marshall Karp ,Arrow Books,2013
82,9781407132044,Superworm ,Julia Donaldson; ill. by Axel Scheffler ,Alison Green,2012
83,9780593063149,Until the end of time ,Danielle Steel ,Bantam,2013
84,9781406340075,What's in the witch's kitchen? ,Nick Sharratt ,Walker,2012
85,9780552774406,I've got your number ,Sophie Kinsella ,Black Swan,2012
86,9780099550181,Guilty wives ,James Patterson and David Ellis ,Arrow Books,2013
87,9781842551332,Horrid Henry wakes the dead ,Francesca Simon; ill. by Tony Ross,Orion Children's ,2009
88,9781780890135,Cross my heart ,James Patterson ,Cornerstone Digital,2013
89,9780333982235,The snail and the whale,Julia Donaldson: ill Axel Scheffler,Macmillan Children's,2003
90,9780751544039,Rush of blood ,Mark Billingham ,Sphere,2013
91,9781409130840,The Hidden Cottage ,Erica James ,Orion,2013
92,9780330477598,The secret keeper ,Kate Morton ,Pan Books,2013
93,9780099539148,Summer of love ,Katie Fforde ,Arrow,2012
94,9780099539179,Recipe for love ,Katie Fforde ,Arrow,2013
95,9780007371464,Gangsta granny ,David Walliams; ill. by Tony Ross ,HarperCollins Children's,2012
96,9781842550694,Horrid Henry and the megamean time machine ,Francesca Simon; ill. by Tony Ross ,Dolphin,2005
97,9780192726452,Winnie in winter ,Korky Paul and Valerie Thomas ,Oxford University Press,2006
98,9781444704914,Children of the revolution,Peter Robinson ,Hodder & Stoughton,2013
99,9781847382092,Dinosaurs love underpants,Claire Freedman; ill. by Ben Cort,Simon & Schuster ,2008
100,9781409135395,The real Katie Lavender,Erica James,Orion,2012
101,9780007361571,Only a mother knows,Annie Groves,Harper ,2013
