Position,ISBN,Title,Contributor,Publisher,Year 
85,9780434021154,Bones of the lost ,Kathy Reichs ,William Heinemann ,2013
86,9781846056543,A French affair ,Katie Fforde ,Century ,2013
87,9780241961490,Forgive me ,Lesley Pearse ,Penguin ,2013
88,9781408842423,And the mountains echoed ,Khaled Hosseini ,Bloomsbury ,2013
89,9780333710937,Gruffalo ,Julia Donaldson; ill. by Axel Scheffler ,Macmillan Children's ,1999
90,9780007279043,The boy in the dress ,David Walliams; ill. by Quentin Blake ,HarperCollins Children's ,2009
91,9780593065709,The affair ,Lee Child ,Bantam ,2011
92,9780340937334,XO ,Jeffery Deaver ,Hodder ,2013
93,9781444704853,Before the poison ,Peter Robinson ,Hodder ,2012
94,9780751544039,Rush of blood ,Mark Billingham ,Sphere ,2013
95,9781847444219,Rush of blood ,Mark Billingham ,Little Brown ,2012
96,9780099408390,Where the wild things are ,Maurice Sendak ,Red Fox ,2000
97,9780670922796,A delicate truth ,John le Carre ,Viking ,2013
98,9781444780437,The October list ,Jeffery Deaver ,Hodder & Stoughton ,2013
99,9780113413409,Life in the United Kingdom: a guide for new residents. ,Great Britain ,TSO ,2013
100,9781847445322,Dust ,Patricia Cornwell ,Little Brown ,2013
101,9780718156985,Waiting for Wednesday : a Frieda Klein novel ,Nicci French ,Michael Joseph ,2013
