Position,ISBN,Title,Contributor,Publisher,Year 
88,9780385618670,Life after life ,Kate Atkinson ,Doubleday ,2013
89,9780230757790,The clippie girls ,Margaret Dickinson ,Pan Books ,2013
90,9780007452200,A devil is waiting ,Jack Higgins ,HarperCollins ,2012
91,9781408703441,The bone bed ,Patricia Cornwell ,Little Brown ,2012
92,9781846057960,Criminal ,Karin Slaughter ,Century ,2012
93,9780141324920,The last straw ,Jeff Kinney ,Puffin ,2009
94,9781471112638,Someday I'll find you ,Richard Madeley ,Simon & Schuster ,2013
95,9781849837057,Daddy's gone a-hunting ,Mary Higgins Clark ,Simon & Schuster ,2013
96,9780755388271,Touch & go ,Lisa Gardner ,Headline ,2013
97,9781408704202,The casual vacancy ,JK Rowling ,Little Brown ,2012
98,9781409115021,Trust your eyes ,Linwood Barclay ,Orion ,2012
99,9780007419968,Three letters ,Josephine Cox ,HarperCollins ,2012
100,9780857500083,Echo burning ,Lee Child ,Bantam ,2011
101,9780007331901,The pagan lord ,Bernard Cornwell ,HarperCollinsPublisher s ,2013
102,9780230749252,The innocent ,David Baldacci ,Macmillan ,2012
