Position,ISBN,Title,Contributor,Publisher,Year 
88,9781409136309,The drop ,Michael Connelly ,Orion ,2012
89,9780349000206,Stonemouth ,Iain Banks ,Abacus ,2013
90,9780755378418,Better together ,Sheila O'Flanagan ,Headline Review ,2013
91,9780552778091,The unlikely pilgrimage of Harold Fry ,Rachel Joyce ,Black Swan ,2013
92,9780749958695,The twins ,Saskia Sarginson ,Piatkus ,2013
93,9780099579069,Ultimatum ,Simon Kernick ,Arrow Books ,2013
94,9780007464586,The shining girls ,Lauren Beukes ,Harper ,2013
95,9780141043098,The mystery of Mercy Close ,Marian Keyes ,Penguin Books ,2013
96,9780571234622,Capital ,John Lanchester ,Faber ,2013
97,9780751546101,The Vanishing Point ,Val McDermid ,"Little, Brown Book Group",2013
98,9780330520324,The innocent ,David Baldacci ,Pan ,2012
99,9781405911665,The husband's secret ,Liane Moriarty ,Penguin Books ,2013
100,9780007419999,Three letters ,Josephine Cox ,Harper ,2012
101,9780099574118,Private Berlin ,James Patterson ,Arrow Books ,2013
