Position,ISBN ,Title ,Contributor ,Publisher ,Year 
86,9781471125829,Wrongful death ,Lynda La Plante ,Simon & Schuster ,2013
87,9780744531671,Owl babies. ,"Martin Waddell, Patrick Benson ",Walker ,1992
88,9781846056543,A French affair ,Katie Fforde ,Century ,2013
89,9781405913140,Natural causes ,by James Oswald ,Penguin Books ,2013
90,9781444761245,The trader's gift ,by Anna Jacobs ,Hodder & Stoughton ,2013
91,9780007419890,The broken man ,by Josephine Cox ,HarperCollins ,2013
92,9781471112638,Some day I'll find you ,Richard Madeley ,Simon & Schuster ,2013
93,9780333982242,The snail and the whale             , Julia Donaldson: ill Axel Scheffler    ,Macmillan Children's      ,2003
94,9780007315093,Bring up the bodies ,Hilary Mantel ,Fourth Estate ,2012
95,9780099569428,Nightingale sisters ,Donna Douglas ,Arrow ,2013
96,9780099576433,NYPD Red ,James Patterson ; Marshall Karp ,Arrow Books ,2013
97,9781444780437,The October list ,by Jeffery Deaver ,Hodder & Stoughton ,2013
98,9781409130840,The Hidden Cottage ,Erica James ,Orion ,2013
99,9781407132044,Superworm ,by Julia Donaldson ; illustrated by Axel Scheffler,Alison Green ,2012
100,9780593063149,Until the end of time ,by Danielle Steel ,Bantam ,2013
