Position,ISBN,Title,Contributor,Publisher,Year 
87,9780091950347,Wartime brides ,Lizzie Lane ,Ebury ,2012
88,9780099550280,Criminal ,Karin Slaughter ,Arrow Books ,2013
89,9780857500090,Without fail ,Lee Child ,Bantam ,2011
90,9781407108827,Stick man ,Julia Donaldson; ill. by Axel Scheffler ,Alison Green ,2009
91,9780857500106,Persuader ,Lee Child ,Bantam ,2011
92,9781471114922,A face in the crowd ,Lynda La Plante ,Simon & Schuster ,2013
93,9780099550174,Kill me if you can ,James Patterson ,Arrow Books ,2012
94,9780099573951,"First love, last love ",Katie Flynn ,Arrow ,2012
95,9781447210603,For the sake of her family ,Diane Allen ,Macmillan ,2012
96,9780099550723,No turning back ,Susan Lewis ,Arrow ,2012
97,9781472206022,The last dance and other stories ,Victoria Hislop ,Headline ,2013
98,9780755387007,The Flower girls ,Dee Williams ,Headline ,2012
99,9781471112638,Some Day I'll find you ,Richard Madeley ,Simon & Schuster ,2013
100,9780857500069,Tripwire ,Lee Child ,Bantam ,2011
