Position,ISBN,Title,Contributor,Publisher,Year 
1,9780593065747,Never go back ,Lee Child ,Bantam Press ,2013
2,9780385618670,Life after life ,Kate Atkinson ,Doubleday ,2013
3,9780230748248,Best kept secret ,Jeffrey Archer ,Macmillan ,2013
4,9780141324906,Diary of a wimpy kid ,Jeff Kinney ,Puffin ,2008
5,9781444704914,Children of the revolution ,Peter Robinson ,Hodder & Stoughton ,2013
6,9780593072493,Inferno ,Dan Brown ,Bantam ,2013
7,9781780890258,Mistress ,James Patterson and David Ellis ,Century ,2013
8,9780007315109,Bring up the bodies ,Hilary Mantel ,Fourth Estate ,2013
9,9780552778091,The unlikely pilgrimage of Harold Fry ,Rachel Joyce ,Black Swan ,2013
10,9781444704877,Watching the dark ,Peter Robinson ,Hodder & Stoughton ,2012
11,9780007453566,Demon dentist ,David Walliams; ill. by Tony Ross ,HarperCollins Children's> ,2013
12,9780718158149,"Save with Jamie : shop smart, cook clever, waste less ",Jamie Oliver ,Michael Joseph ,2013
13,9781846058905,Private down under ,"James Patterson, Michael White ",Century ,2013
14,9780007371082,Billionaire boy ,David Walliams ,HarperCollins Children's ,2011
15,9780753827666,Gone girl ,Gillian Flynn ,Phoenix ,2013
16,9780749958114,Whiskey Beach ,Nora Roberts ,Piatkus ,2013
17,9780141344980,The third wheel ,Jeff Kinney ,Puffin ,2012
18,9780141331973,Dog days ,Jeff Kinney ,Puffin ,2010
19,9781780331034,Death of yesterday ,MC Beaton ,C&R Crime ,2013
20,9780007279067,Mr Stink ,David Walliams; ill. by Quentin Blake ,HarperCollins Children's ,2010
21,9780007279043,The boy in the dress ,David Walliams; ill. by Quentin Blake ,HarperCollins Children's ,2009
22,9780593065730,A wanted man ,Lee Child ,Bantam ,2012
23,9780727882561,A place of hope ,Anna Jacobs ,Severn House ,2013
24,9781846555961,Police ,Jo Nesbo ; translated from the Norwegian by Don Bartlett ,Harvill Secker ,2013
25,9780007315093,Bring up the bodies ,Hilary Mantel ,Fourth Estate ,2012
26,9781847084316,The Luminaries ,Eleanor Catton ,Granta ,2013
27,9780141324920,The last straw ,Jeff Kinney ,Puffin ,2009
28,9781447225287,The hit ,David Baldacci ,Macmillan ,2013
29,9781846059971,Unseen ,Karin Slaughter ,Century ,2013
