Position,ISBN,Title,Contributor,Publisher,Year 
30,9781409144717,Standing in another man's grave ,Ian Rankin ,Orion ,2012
31,9781780890234,Second honeymoon ,James Patterson ,Century ,2013
32,9781444761245,The trader's gift ,Anna Jacobs ,Hodder & Stoughton ,2013
33,9781408703991,The cuckoo's calling ,Robert Galbraith ,Sphere ,2013
34,9781444705591,Trouble at the little village school ,Gervase Phinn ,Hodder & Stoughton ,2012
35,9781409130840,The Hidden Cottage ,Erica James ,Orion ,2013
36,9780434021154,Bones of the lost ,Kathy Reichs ,William Heinemann ,2013
37,9780857207517,The white princess ,Philippa Gregory ,Simon & Schuster ,2013
38,9781408704202,The casual vacancy ,JK Rowling ,Little Brown ,2012
39,9781847444233,The dying hours ,Mark Billingham ,Little Brown ,2013
40,9780593069738,The ways of the world ,Robert Goddard ,Bantam ,2013
41,9780099550181,Guilty wives ,James Patterson  ,Arrow Books ,2013
42,9781846551451,The Bat ,Jo Nesbo; translated by Don Bartlett ,Harvill Secker ,2012
43,9781409134312,The black box ,Michael Connelly ,Orion ,2012
44,9781780890098,Gone ,James Patterson ; Michael Ledwidge ,Century ,2013
45,9780333710937,Gruffalo ,Julia Donaldson; ill. by Axel Scheffler ,Macmillan Children's ,1999
46,9780230749283,The forgotten ,David Baldacci ,Macmillan ,2012
47,9780593063163,First sight ,Danielle Steel ,Bantam Press ,2013
48,9780385618038,The soldier's wife ,Joanna Trollope ,Doubleday ,2012
49,9781408842423,And the mountains echoed ,Khaled Hosseini ,Bloomsbury ,2013
50,9781407120690,The brilliant world of Tom Gates ,Liz Pichon ,Scholastic ,2011
51,9781409117223,Stay close ,Harlan Coben ,Orion Books Ltd. ,2013
52,9780091952945,The servant girl ,Maggie Hope ,Ebury Press ,2013
53,9781444729764,The racketeer ,John Grisham ,Hodder & Stoughton ,2013
54,9780091953843,No man's nightingale ,Ruth Rendell ,Hutchinson ,2013
55,9781444757330,The kill room ,Jeffery Deaver ,Hodder & Stoughton ,2013
56,9780263904581,California summer ,Nora Roberts ,Mills & Boon ,2013
57,9780749013899,Heir to greyladies ,Anna Jacobs ,Allison & Busby ,2013
58,9781843913726,The hundred-year-old man who climbed out of the window and,Jonas Jonasson ,Hesperus ,2012
59,9780230757622,Vicious circle ,Wilbur Smith ,Macmillan ,2013
60,9781780890296,12th of never ,James Patterson and Maxine Paetro ,Century ,2013
61,9781407132044,Superworm ,Julia Donaldson; ill. by Axel Scheffler ,Alison Green ,2012
62,9780230760547,Dead man's time ,Peter James ,Macmillan ,2013
63,9781409144748,Saints of the shadow bible ,Ian Rankin ,Orion ,2013
64,9781846056543,A French affair ,Katie Fforde ,Century ,2013
65,9780007371464,Gangsta granny ,David Walliams; ill. by Tony Ross ,HarperCollins Children's ,2012
66,9781409109402,Standing in Another Man's Grave ,Ian Rankin ,Orion Publishing Co ,2013
67,9781780890173,Private Berlin ,James Patterson with Mark T Sullivan ,Century ,2013
68,9780751551716,Already dead ,Stephen Booth ,Sphere ,2013
69,9780718197858,"Happy birthday, Peppa! ", ,Ladybird ,2013
70,9781409113997,A week in winter ,Maeve Binchy ,Orion ,2012
71,9780701186562,A question of identity ,Susan Hill ,Chatto & Windus ,2012
72,9780333720011,Monkey puzzle                           , Julia Donaldson: ill. By Axel Scheffler   ,Macmillan Children's Books,2000
73,9780670922796,A delicate truth ,John le Carre ,Viking ,2013
74,9780099408390,Where the wild things are ,Maurice Sendak ,Red Fox ,2000
75,9780099520320,The Bat ,Jo Nesbo ; trans. Don Bartlett ,Vintage Books ,2013
76,9780141324913,Rodrick rules ,Jeff Kinney ,Puffin ,2008
77,9781409309062,Peppa Pig: My daddy ,Lauren Holowaty ,Ladybird ,2011
78,9780718159368,Refusal ,Felix Francis ,Michael Joseph ,2013
79,9780333982242,The snail and the whale             , Julia Donaldson: ill. by Axel Scheffler,Macmillan Children's      ,2003
80,9780749956295,In the silence of the snow ,Jessica Blair ,Piatkus ,2013
81,9781846057830,"Alex Cross, run ",James Patterson ,Century ,2013
82,9780007350353,The last runaway ,Tracy Chevalier ,Harper ,2013
83,9780333963968,The smartest giant in town        , Julia Donaldson: ill. by Axel Scheffler  ,Macmillan Children's      ,2002
84,9781846059537,Don't let me go ,Susan Lewis ,Century ,2013
85,9780718177188,Zero hour ,Clive Cussler and Graham Brown ,Michael Joseph ,2013
86,9781444765564,Sycamore Row ,John Grisham ,Hodder & Stoughton ,2013
87,9781471112638,Some Day I'll find you ,Richard Madeley ,Simon & Schuster ,2013
88,9780099569428,Nightingale sisters ,Donna Douglas ,Arrow ,2013
89,9780755377732,The thread ,Victoria Hislop ,Headline Review ,2011
90,9781444766639,The storyteller ,Jodi Picoult ,Hodder & Stoughton ,2013
91,9780593065709,The affair ,Lee Child ,Bantam ,2011
92,9781444780437,The October list ,Jeffery Deaver ,Hodder & Stoughton ,2013
93,9781409144571,Six years ,Harlan Coben ,Orion ,2013
94,9780263904550,The pride of Jared MacKade ,Nora Roberts ,Mills & Boon ,2013
95,9780099562580,The best of daughters ,Dilly Court ,Arrow ,2013
96,9780091944551,An officer and a spy ,Robert Harris ,Hutchinson ,2013
97,9780751550405,The little coffee shop of Kabul ,Deborah Rodriguez ,Sphere ,2013
98,9780340932001,That pesky dragon ,Julie Sykes ; ill. by Melanie Williamson ,Hodder Children's ,2008
99,9780330520331,The forgotten ,David Baldacci ,Pan Books ,2013
100,9780749009977,Elm Tree Road ,Anna Jacobs ,Allison & Busby ,2011
101,9780718159009,Forgive me ,Lesley Pearse ,Michael Joseph ,2013
102,9781409134343,The gods of guilt ,Michael Connelly ,Orion ,2013
103,9780263904604,Tempting fate ,Nora Roberts ,Mills & Boon ,2013
