Position,ISBN,Title,Contributor,Publisher,Year 
1,9780593065747,Never go back,Lee Child ,Bantam Press,2013
2,9780593072493,Inferno,Dan Brown,Bantam,2013
3,9780593065730,A wanted man,Lee Child,Bantam,2012
4,9781409144571,Six years,Harlan Coben,Orion,2013
5,9781780890258,Mistress,James Patterson and David Ellis,Century,2013
6,9780434021154,Bones of the lost,Kathy Reichs ,William Heinemann,2013
7,9781447225287,The hit ,David Baldacci ,Macmillan ,2013
8,9781846057830,"Alex Cross, run ",James Patterson ,Century ,2013
9,9781780890296,12th of never ,James Patterson and Maxine Paetro ,Century ,2013
10,9781444704914,Children of the revolution ,Peter Robinson ,Hodder & Stoughton ,2013
11,9781780890234,Second honeymoon ,James Patterson ,Century ,2013
12,9781846059971,Unseen ,Karin Slaughter ,Century ,2013
13,9780230760547,Dead man's time ,Peter James ,Macmillan ,2013
14,9781409134312,The black box ,Michael Connelly ,Orion ,2012
15,9781780890678,NYPD Red ,James Patterson ,Century ,2012
16,9780593065709,The affair ,Lee Child ,Bantam ,2011
17,9781471125829,Wrongful death ,Lynda La Plante ,Simon & Schuster ,2013
18,9781409144717,Standing in another man's grave ,Ian Rankin ,Orion ,2012
19,9780593063163,First sight ,Danielle Steel ,Bantam Press ,2013
20,9781444757330,The kill room ,Jeffery Deaver ,Hodder & Stoughton ,2013
21,9781846058905,Private down under ,James Patterson ,Century ,2013
22,9781780890692,"Merry Christmas, Alex Cross ",James Patterson ,Century ,2012
23,9781444765564,Sycamore Row ,John Grisham ,Hodder & Stoughton ,2013
24,9781780890098,Gone ,James Patterson ; Michael Ledwidge ,Century ,2013
25,9781408704202,The casual vacancy ,JK Rowling ,Little Brown ,2012
26,9781780890173,Private Berlin ,James Patterson with Mark T Sullivan ,Century ,2013
27,9780593069738,The ways of the world ,Robert Goddard ,Bantam ,2013
28,9781409113997,A week in winter ,Maeve Binchy ,Orion ,2012
29,9781780890135,Cross my heart ,James Patterson ,Cornerstone Digital ,2013
30,9780718158149,"Save with Jamie : shop smart, cook clever, waste less ",Jamie Oliver ,Michael Joseph ,2013
31,9780670922796,A delicate truth ,John le Carre ,Viking ,2013
32,9780230749283,The forgotten ,David Baldacci ,Macmillan ,2012
33,9781471100956,Secrets of the lighthouse ,Santa Montefiore ,Simon & Schuster ,2013
34,9780857207517,The white princess ,Philippa Gregory ,Simon & Schuster ,2013
35,9781846555961,Police ,Jo Nesbo  ,Harvill Secker ,2013
36,9781409144748,Saints of the shadow bible ,Ian Rankin ,Orion ,2013
37,9781847444233,The dying hours ,Mark Billingham ,Little Brown ,2013
38,9781846056543,A French affair ,Katie Fforde ,Century ,2013
39,9781846551451,The Bat ,Jo Nesbo  ,Harvill Secker ,2012
40,9780230748248,Best kept secret ,Jeffrey Archer ,Macmillan ,2013
41,9780593063149,Until the end of time ,Danielle Steel ,Bantam ,2013
42,9781409134343,The gods of guilt ,Michael Connelly ,Orion ,2013
43,9780230757622,Vicious circle ,Wilbur Smith ,Macmillan ,2013
44,9781780890210,Private L.A. ,James Patterson ; Mark Sullivan ,Century ,2014
45,9780593063262,Last to die ,Tess Gerritsen ,Bantam ,2012
46,9780593065662,Worth dying for ,Lee Child ,Bantam ,2010
47,9781408842423,And the mountains echoed ,Khaled Hosseini ,Bloomsbury ,2013
