Position,ISBN,Title,Contributor,Publisher,Year 
48,9780718177188,Zero hour ,Clive Cussler and Graham Brown ,Michael Joseph ,2013
49,9781444729740,The racketeer ,John Grisham ,Hodder & Stoughton ,2012
50,9780749959340,Calculated in death ,JD Robb ,Piatkus ,2013
51,9780857201836,Backlash ,Lynda La Plante ,Simon & Schuster ,2012
52,9781444766639,The storyteller ,Jodi Picoult ,Hodder & Stoughton ,2013
53,9781847445322,Dust ,Patricia Cornwell ,Little Brown ,2013
54,9780385618670,Life after life ,Kate Atkinson ,Doubleday ,2013
55,9780593070147,Wedding night ,Sophie Kinsella ,Bantam ,2013
56,9781846057892,Guilty wives ,James Patterson ,Century ,2012
57,9780593071977,The kill list ,Frederick Forsyth ,Bantam Press ,2013
58,9781780331034,Death of yesterday ,MC Beaton ,C&R Crime ,2013
59,9780749959364,Thankless in death ,JD Robb ,Piatkus ,2013
60,9780007419890,The broken man ,Josephine Cox ,HarperCollins ,2013
61,9780007331901,The pagan lord ,Bernard Cornwell ,HarperCollinsPublisher s ,2013
62,9781444704877,Watching the dark ,Peter Robinson ,Hodder & Stoughton ,2012
63,9780749958114,Whiskey Beach ,Nora Roberts ,Piatkus ,2013
64,9780091953843,No man's nightingale ,Ruth Rendell ,Hutchinson ,2013
65,9780091944551,An officer and a spy ,Robert Harris ,Hutchinson ,2013
66,9780718159009,Forgive me ,Lesley Pearse ,Michael Joseph ,2013
67,9780007271177,The blood of gods ,Conn Iggulden ,HarperCollins ,2013
68,9780718156985,Waiting for Wednesday : a Frieda Klein novel ,Nicci French ,Michael Joseph ,2013
69,9781846057960,Criminal ,Karin Slaughter ,Century ,2012
70,9780718157838,Me before you ,Jojo Moyes ,Penguin ,2012
71,9780755375615,Revenge ,Martina Cole ,Headline ,2013
72,9780752889535,The impossible dead ,Ian Rankin ,Orion ,2011
73,9780230749252,The innocent ,David Baldacci ,Macmillan ,2012
74,9780007315093,Bring up the bodies ,Hilary Mantel ,Fourth Estate ,2012
75,9781444729702,The litigators ,John Grisham ,Hodder & Stoughton ,2011
76,9780007468539,The holiday home ,Fern Britton ,HarperCollins ,2013
77,9780230760172,Dead water ,Ann Cleeves ,Macmillan ,2013
78,9781846058295,Zoo ,James Patterson & Michael Ledwidge ,Century ,2012
79,9781444736533,True colours ,Stephen Leather ,Hodder & Stoughton ,2013
80,9781847444219,Rush of blood ,Mark Billingham ,Little Brown ,2012
81,9780224098090,Bridget Jones: mad about the boy ,Helen Fielding ,Jonathan Cape ,2013
82,9780718159122,The tombs ,Clive Cussler and Thomas Perry ,Michael Joseph ,2013
83,9781408703441,The bone bed ,Patricia Cornwell ,Little Brown ,2012
84,9780857382238,The chess men ,Peter May ,Quercus ,2013
85,9781409140603,Flora and Grace ,Maureen Lee ,Orion ,2013
86,9780007452200,A devil is waiting ,Jack Higgins ,HarperCollins ,2012
87,9781409126584,Suspect ,Robert Crais ,Orion ,2013
88,9781409130840,The Hidden Cottage ,Erica James ,Orion ,2013
89,9781409112556,Stay close ,Harlan Coben ,Orion ,2012
90,9780593063187,Winners ,Danielle Steel ,Bantam Press ,2013
91,9780007331840,1356,Bernard Cornwell ,HarperCollins ,2012
92,9780593065242,Silencer ,Andy McNab ,Bantam ,2013
93,9781409141419,Never saw it coming ,Linwood Barclay ,Orion ,2013
94,9781846057915,11th hour ,James Patterson and Maxine Paetro,Century ,2012
95,9780593057063,61 hours ,Lee Child ,Bantam ,2010
96,9781846555213,Phantom ,Jo Nesbo ; translated by Don Bartlett ,Harvill Secker ,2012
97,9781847379276,The summer house ,Santa Montefiore ,Simon & Schuster ,2012
98,9780007344260,Close to the bone ,Stuart MacBride ,HarperCollins ,2013
99,9781447225300,King and Maxwell ,David Baldacci ,Macmillan ,2013
100,9780718177201,Poseidon's arrow ,Clive Cussler and Dirk Cussler ,Michael Joseph ,2012
101,9781409115052,A tap on the window ,Linwood Barclay ,Orion ,2013
102,9780718159832,Stormbird ,Conn Iggulden ,Michael Joseph ,2013
